| dataset   | embedding                       | weighting   |   p_0.25 |   p_0.5 |   p_0.75 |   p_1.0 |   p_mean1 |   p_mean2 |   r_norm |   p_norm |
| med       | glove-twitter-100               | mean        |   0.3746 |  0.1858 |   0.0972 |  0.0417 |    0.2192 |    0.2157 |   0.7805 |   0.5414 |
| med       | glove-twitter-100               | tf-idf      |   0.3622 |  0.1511 |   0.0803 |  0.0365 |    0.1979 |    0.1955 |   0.7652 |   0.5203 |
| med       | glove-twitter-100               | sif         |   0.396  |  0.2031 |   0.1099 |  0.0456 |    0.2363 |    0.2308 |   0.7975 |   0.5609 |
| med       | glove-twitter-100               | usif        |   0.4065 |  0.2081 |   0.1121 |  0.0474 |    0.2422 |    0.2373 |   0.7997 |   0.5652 |
| med       | glove-wiki-gigaword-100         | mean        |   0.4346 |  0.2505 |   0.122  |  0.0439 |    0.269  |    0.2648 |   0.8224 |   0.5943 |
| med       | glove-wiki-gigaword-100         | tf-idf      |   0.3977 |  0.2706 |   0.1086 |  0.0435 |    0.259  |    0.25   |   0.812  |   0.5808 |
| med       | glove-wiki-gigaword-100         | sif         |   0.4503 |  0.3096 |   0.1261 |  0.0495 |    0.2953 |    0.2831 |   0.8335 |   0.6102 |
| med       | glove-wiki-gigaword-100         | usif        |   0.4504 |  0.2856 |   0.1233 |  0.0488 |    0.2865 |    0.2801 |   0.8314 |   0.6069 |
| med       | glove-wiki-gigaword-200         | mean        |   0.5305 |  0.3399 |   0.1635 |  0.054  |    0.3446 |    0.3219 |   0.855  |   0.649  |
| med       | glove-wiki-gigaword-200         | tf-idf      |   0.5041 |  0.3239 |   0.1466 |  0.0518 |    0.3249 |    0.3029 |   0.8446 |   0.6337 |
| med       | glove-wiki-gigaword-200         | sif         |   0.5424 |  0.368  |   0.1717 |  0.0577 |    0.3607 |    0.3348 |   0.8667 |   0.6644 |
| med       | glove-wiki-gigaword-200         | usif        |   0.5287 |  0.3698 |   0.1685 |  0.0573 |    0.3557 |    0.3343 |   0.8651 |   0.6621 |
| med       | fasttext-wiki-news-subwords-300 | mean        |   0.5118 |  0.3082 |   0.1415 |  0.0348 |    0.3205 |    0.3051 |   0.8144 |   0.6247 |
| med       | fasttext-wiki-news-subwords-300 | tf-idf      |   0.5307 |  0.3069 |   0.1346 |  0.0383 |    0.3241 |    0.3041 |   0.8238 |   0.6286 |
| med       | fasttext-wiki-news-subwords-300 | sif         |   0.5357 |  0.3425 |   0.1784 |  0.0515 |    0.3522 |    0.3293 |   0.8639 |   0.6618 |
| med       | fasttext-wiki-news-subwords-300 | usif        |   0.5402 |  0.3552 |   0.18   |  0.0519 |    0.3585 |    0.3338 |   0.8647 |   0.6649 |
| cran      | word2vec-google-news-300        | mean        |   0.4683 |  0.2577 |   0.1434 |  0.0527 |    0.2898 |    0.2873 |   0.8579 |   0.6009 |
| cran      | word2vec-google-news-300        | tf-idf      |   0.4992 |  0.2789 |   0.157  |  0.0569 |    0.3117 |    0.3068 |   0.8395 |   0.5966 |
| cran      | word2vec-google-news-300        | sif         |   0.4801 |  0.2782 |   0.1569 |  0.0672 |    0.3051 |    0.301  |   0.8816 |   0.6247 |
| cran      | word2vec-google-news-300        | usif        |   0.4811 |  0.2882 |   0.1646 |  0.0697 |    0.3113 |    0.3066 |   0.8835 |   0.6305 |
| cran      | glove-twitter-100               | mean        |   0.3118 |  0.1393 |   0.0735 |  0.0237 |    0.1749 |    0.1891 |   0.783  |   0.4847 |
| cran      | glove-twitter-100               | tf-idf      |   0.3161 |  0.1354 |   0.0656 |  0.0263 |    0.1724 |    0.1869 |   0.7561 |   0.4629 |
| cran      | glove-twitter-100               | sif         |   0.35   |  0.1575 |   0.0846 |  0.0275 |    0.1974 |    0.2077 |   0.8093 |   0.5113 |
| cran      | glove-twitter-100               | usif        |   0.3525 |  0.1576 |   0.0836 |  0.0277 |    0.1979 |    0.2084 |   0.8108 |   0.5136 |
| cran      | glove-wiki-gigaword-100         | mean        |   0.3486 |  0.1532 |   0.0792 |  0.0278 |    0.1937 |    0.2046 |   0.8099 |   0.514  |
| cran      | glove-wiki-gigaword-100         | tf-idf      |   0.3495 |  0.1568 |   0.0812 |  0.0326 |    0.1958 |    0.2073 |   0.7903 |   0.5011 |
| cran      | glove-wiki-gigaword-100         | sif         |   0.3606 |  0.1659 |   0.087  |  0.0338 |    0.2045 |    0.2159 |   0.8326 |   0.5335 |
| cran      | glove-wiki-gigaword-100         | usif        |   0.3525 |  0.1581 |   0.0847 |  0.033  |    0.1984 |    0.2101 |   0.8299 |   0.5289 |
| cran      | glove-wiki-gigaword-200         | mean        |   0.4123 |  0.2047 |   0.1061 |  0.0389 |    0.241  |    0.2465 |   0.8393 |   0.5612 |
| cran      | glove-wiki-gigaword-200         | tf-idf      |   0.4353 |  0.216  |   0.1143 |  0.0471 |    0.2552 |    0.2596 |   0.8211 |   0.554  |
| cran      | glove-wiki-gigaword-200         | sif         |   0.4267 |  0.225  |   0.1184 |  0.05   |    0.2567 |    0.2625 |   0.8638 |   0.5869 |
| cran      | glove-wiki-gigaword-200         | usif        |   0.4225 |  0.2249 |   0.1168 |  0.0482 |    0.2547 |    0.2605 |   0.8618 |   0.5829 |
| cran      | fasttext-wiki-news-subwords-300 | mean        |   0.4306 |  0.2156 |   0.1048 |  0.0318 |    0.2503 |    0.2563 |   0.804  |   0.5489 |
| cran      | fasttext-wiki-news-subwords-300 | tf-idf      |   0.4517 |  0.218  |   0.1085 |  0.0354 |    0.2594 |    0.2651 |   0.7793 |   0.5387 |
| cran      | fasttext-wiki-news-subwords-300 | sif         |   0.4585 |  0.2431 |   0.1338 |  0.0529 |    0.2785 |    0.2831 |   0.8619 |   0.595  |
| cran      | fasttext-wiki-news-subwords-300 | usif        |   0.4594 |  0.2428 |   0.1355 |  0.0525 |    0.2792 |    0.2837 |   0.8618 |   0.5959 |
| cacm      | doc2vec                         | -           |   0.1515 |  0.0758 |   0.0401 |  0.01   |    0.0891 |    0.1013 |   0.7135 |   0.3746 |
| cisi      | doc2vec                         | -           |   0.1677 |  0.1021 |   0.0668 |  0.0385 |    0.1122 |    0.1148 |   0.744  |   0.45   |
| med       | doc2vec                         | -           |   0.2551 |  0.1661 |   0.1146 |  0.0339 |    0.1786 |    0.1724 |   0.7251 |   0.4818 |
| cran      | doc2vec                         | -           |   0.2423 |  0.0883 |   0.0412 |  0.017  |    0.1239 |    0.1423 |   0.764  |   0.4367 |
